id,dice,iou
BraTS20_Training_041_axial_025,0.000320,0.000168
BraTS20_Training_041_axial_026,0.001662,0.000839
BraTS20_Training_041_axial_027,0.005615,0.002823
BraTS20_Training_041_axial_028,0.009219,0.004639
BraTS20_Training_041_axial_029,0.012148,0.006119
BraTS20_Training_041_axial_030,0.014858,0.007492
BraTS20_Training_041_axial_031,0.017590,0.008880
BraTS20_Training_041_axial_032,0.020584,0.010406
BraTS20_Training_041_axial_033,0.023598,0.011947
BraTS20_Training_041_axial_034,0.026425,0.013397
BraTS20_Training_041_axial_035,0.030251,0.015365
BraTS20_Training_041_axial_036,0.033443,0.017013
BraTS20_Training_041_axial_037,0.036801,0.018753
BraTS20_Training_041_axial_038,0.040206,0.020523
BraTS20_Training_041_axial_039,0.043949,0.022476
BraTS20_Training_041_axial_040,0.050002,0.025650
BraTS20_Training_041_axial_041,0.056652,0.029159
BraTS20_Training_041_axial_042,0.061853,0.031921
BraTS20_Training_041_axial_043,0.068052,0.035232
BraTS20_Training_041_axial_044,0.072172,0.037444
BraTS20_Training_041_axial_045,0.076896,0.039993
BraTS20_Training_041_axial_046,0.079742,0.041534
BraTS20_Training_041_axial_047,0.082467,0.043014
BraTS20_Training_041_axial_048,0.084456,0.044097
BraTS20_Training_041_axial_049,0.085128,0.044463
BraTS20_Training_041_axial_050,0.085603,0.044723
BraTS20_Training_041_axial_051,0.085296,0.044555
BraTS20_Training_041_axial_052,0.085799,0.044830
BraTS20_Training_041_axial_053,0.084848,0.044311
BraTS20_Training_041_axial_054,0.082495,0.043029
BraTS20_Training_041_axial_055,0.079882,0.041610
BraTS20_Training_041_axial_056,0.076670,0.039871
BraTS20_Training_041_axial_057,0.074664,0.038787
BraTS20_Training_041_axial_058,0.073872,0.038360
BraTS20_Training_041_axial_059,0.072541,0.037643
BraTS20_Training_041_axial_060,0.070952,0.036788
BraTS20_Training_041_axial_061,0.068878,0.035675
BraTS20_Training_041_axial_062,0.066513,0.034408
BraTS20_Training_041_axial_063,0.063829,0.032974
BraTS20_Training_041_axial_064,0.061337,0.031646
BraTS20_Training_041_axial_065,0.059759,0.030807
BraTS20_Training_041_axial_066,0.055845,0.028732
BraTS20_Training_041_axial_067,0.047097,0.024124
BraTS20_Training_041_axial_068,0.041084,0.020981
BraTS20_Training_041_axial_069,0.037536,0.019134
BraTS20_Training_041_axial_070,0.035830,0.018249
BraTS20_Training_041_axial_071,0.034475,0.017547
BraTS20_Training_041_axial_072,0.034829,0.017730
BraTS20_Training_041_axial_073,0.038299,0.019531
BraTS20_Training_041_axial_074,0.042401,0.021667
BraTS20_Training_041_axial_075,0.045000,0.023025
BraTS20_Training_041_axial_076,0.045699,0.023391
BraTS20_Training_041_axial_077,0.044825,0.022934
BraTS20_Training_041_axial_078,0.043132,0.022049
BraTS20_Training_041_axial_079,0.040645,0.020752
BraTS20_Training_041_axial_080,0.038035,0.019394
BraTS20_Training_041_axial_081,0.036301,0.018493
BraTS20_Training_041_axial_082,0.035064,0.017853
BraTS20_Training_041_axial_083,0.035094,0.017868
BraTS20_Training_041_axial_084,0.035329,0.017990
BraTS20_Training_041_axial_085,0.034298,0.017456
BraTS20_Training_041_axial_086,0.033148,0.016861
BraTS20_Training_041_axial_087,0.032823,0.016693
BraTS20_Training_041_axial_088,0.032321,0.016433
BraTS20_Training_041_axial_089,0.030429,0.015457
BraTS20_Training_041_axial_090,0.028296,0.014358
BraTS20_Training_041_axial_091,0.025712,0.013031
